NAME	B cell	T cell	ciliated columnar cell of tracheobronchial tree	classical monocyte	leukocyte	lung endothelial cell	myeloid cell	natural killer cell	stromal cell
Apc	1	1	52.6897211095896	1	1	291.661713256772	37.767492013233	1	62.7491964332733
Apex1	60.221929769453	43.2406397644268	1	1	1	1	58.3247062481679	1	1
Aph1c	1	1	1	54.4090209148808	1	1	61.086746182409	1	1
Apobec1	148.787250845393	1	1	198.832186593279	435.682304730875	1	1	1	1
Apobec3	686.078648353854	288.733619468953	34.1446446296637	1	25.1866773512674	38.0379808832546	262.084309713843	310.018693340603	1
Apobr	1	1	1	1	251.262986436543	1	1	1	1
Apoc2	1	1	1	170.070478184675	1	1	1	1	1
Apod	1	1	1	1	1	1	1	1	346.338784832956
Apoe	1098.98449232942	1	1	5249.41430135657	5.3108004349326	467.394089949177	1	38.1789951742134	5283.36513328733
Apol7e	1	55.9926466556684	1	1	1	1	1	30.6763739913881	1
Apold1	1	1	1	1	1	712.078223494043	1	1	1
Appbp2	1	1	58.1661632584184	1	1	25.2836062682043	35.0562181396244	327.315691137681	77.5635832222725
Appl2	1	1	145.451457846843	1	1	1	1	1	1
Aprt	1	1	46.1423522819745	214.843887438716	1	1	235.56834030737	159.701372659355	102.515139955288
Aqp1	1	1	1	1	1	1605.94212921142	1	1	1
Aqp9	1	1	1	1	310.428223904481	1	1	1	1
Arap1	1	1	213.436120270785	90.9764976338344	177.316858915627	1	12.3716337701191	1	108.039023322322
Arap2	1	58.0717408125268	1	1	1	198.617851261487	23.2167752049608	176.731472151808	1
Arap3	1	1	1	1	1	145.768869326552	1	1	1
Arfgap1	170.360416928693	33.3456236598957	1	38.6247610610919	1	1	66.7216290626824	1	243.549705152392
Arg2	1	1	1	1	827.984977390752	1	1	1	1
Arhgap17	156.299236967544	1	1	40.5744152114905	1	1	160.85664705954	7.35957537290907	1
Arhgap18	1	1	109.54454063914	1	43.9800462059923	1	67.1443491915639	1	1
Arhgap27	1	1	1	1	1	75.1700748746655	1	1	1
Arhgap28	1	1	1	1	1	1	1	1	79.5179988953096
Arhgap29	1	1	1	1	1	124.084420162332	1	1	168.244121941844
Arhgap30	119.351722241327	91.3672507473361	1	288.501097107013	1	1	195.985622303305	146.047637733735	1
Arhgap4	176.401796020368	1	1	1	18.8734681413589	1	1	83.4148559187532	1
Arhgap6	1	1	1	1	1	110.235860243195	1	1	1
Arhgap9	141.693681702721	99.7414862216141	1	284.957977451787	486.409134523435	1	114.322117488136	387.921721930529	1
Arhgdig	1	1	845.23363856443	1	1	1	1	1	1
Arhgef10l	1	1	1	33.794655749237	1	1	1	1	1
Arhgef15	1	1	1	1	1	139.441677718	1	1	1
Arhgef37	1	1	1	41.0469418590347	1	1	1	1	1
Arhgef6	50.4833793217173	1	1	47.2287983413679	1	1	110.808322368149	1	1
Arid5a	133.117241093196	171.130669056044	1	150.439951870774	375.907369123537	1	1	128.028817333884	1
Arl11	1	1	1	43.0333038488716	1	1	82.2024630465136	1	1
Arl13b	1	1	66.9564712795794	1	1	102.530483612816	1	1	1
Arl2	94.4130341851578	1	1	1	1	83.5253577858532	1	1	31.1891280465556
Arl3	1	1	250.8456386814	1	1	1	1	1	22.8792575946919
Arl4a	109.580953382355	1	127.066827583592	1	1	525.649846278985	1	1	54.5296300300797
Arl4d	1	1	1	1	1	374.007340281886	1	1	1
Arl5b	1	1	1	1	1	136.372354791408	1	1	29.8904559910815
Arl5c	244.695482312249	1	1	119.285462247345	1	1	156.731719655626	128.223288562187	1
Arl6ip4	1	70.6120162194208	44.3508709253871	39.6772161912035	1	1	4.79532208749702	1	1
Armc10	1	1	1	1	1	1	1	49.1026831677598	63.8560443585279
Armc4	1	1	131.842046373175	1	1	1	1	1	1
Armc5	1	1	1	1	1	1	92.9626653770059	1	1
Armc6	1	1	1	1	1	1	1	1	135.849266358699
Armc7	1	36.8469806217955	1	1	1	1	1	21.9449226032632	1
Armc8	1	1	1	1	1	1	57.216425114115	114.176232038771	1
Arnt	121.882443484912	1	1	1	1	76.5048257162989	32.5070432730336	1	32.4936194314864
Arrdc3	1	1	43.1371519282215	1	266.361384966015	1	1	1	303.490930221419
Arrdc4	1	1	89.8503974234721	26.4265427775396	176.313742150034	1	121.806864413684	1	1
Arsb	1	1	1	1	1	1	106.695656408846	44.6790155211848	1
Art4	1	1	1	1	1	1	1	1	123.257235987494
As3mt	1	1	1	1	1	1	1	134.908002560654	1
Asap1	1	1	1	26.7030618288032	1	1	83.8995608316219	1	37.3504081849087
Asap2	1	1	1	1	1	107.022957723177	1	1	1
Asb2	1	1	1	1	1	1	145.830774324962	1	1
Asb3	1	1	1	1	1	112.935391089136	1	1	1
Asb6	1	103.683503367034	1	1	1	59.3165699843214	1	130.254261756343	1
Asb8	258.736900223853	1	1	1	1	1	32.3200722555895	1	1
Ascc1	1	1	515.892728593033	50.5174412919243	1	1	29.6199760553648	1	1
Ascc3	42.8575565565097	115.522579439558	18.5567356555934	1	1	1	1	1	30.2417710040368
Ash2l	1	99.9009780302866	1	1	1	1	12.8440468728392	17.2982307809895	31.2964017532091
Asl	1	127.318718453491	1	113.327047517859	1	1	42.2305208283111	1	1
Asns	1	1	263.073112387505	1	1	1	1	1	1
Asnsd1	91.2067460712553	1	1	1	1	1	1	1	1
Aspa	1	1	1	1	1	1	1	1	103.191075712114
Aspn	1	1	1	1	1	1	1	1	108.478077674328
Asprv1	1	1	1	1	575.510203663414	1	1	1	1
Asxl2	1	7.81336059148591	18.3434117961291	1	1	1	1	103.536779959128	34.130785897543
Atad1	1	1	23.0084092645508	1	1	1	1	1	119.330442452561
Atad2	139.309383454622	1	1	1	1	1	1	1	1
Atad3a	1	1	34.5829320758773	1	1	129.71209276521	1	1	1
Atf1	1	1	1	1	33.1347154482307	1	1	1	1
Atf2	62.3632164062441	1	1	1	1	1	1	1	92.0397883333847
Atg12	1	132.498116449024	59.2605809124432	1	1	1	1	37.3095320623082	1
Atg13	1	264.247991992279	1	1	1	47.6884876335857	1	1	1
Atg16l2	100.799209414585	100.817112341449	1	1	1	1	1	1	1
Atg2a	1	1	1	31.4775925147349	1	1	52.4876020639161	1	1
Atg4b	1	119.49992911917	1	79.6916715619436	1	294.893092768999	1	1	59.1742541662538
Atg4d	1	1	109.772026323629	53.2599219536473	1	1	1	95.150696667122	1
Atg5	1	213.176397176463	92.0585248320066	58.1154817996658	1	1	27.2062517760652	102.227288515926	1
Atg7	1	1	1	84.3892594229551	1	21.1141731426419	1	1	1
Atic	236.651533955109	1	35.9229173417447	1	1	1	1	1	1
Atp13a1	1	1	1	1	1	117.577152135062	1	1	57.3515188359996
Atp13a3	1	1	107.621651350284	1	87.6457268094159	1	1	1	1
Atp1a2	1	1	1	1	1	1	1	1	362.433498560833
Atp1a3	1	1	1	96.2994957785671	354.262871031843	1	1	1	1
Atp1b1	1	1	120.467821823997	1	112.287919412371	1	1	121.028034303722	1
Atp2a3	74.1016084482534	189.817539456477	12.3384102335962	1	1	34.2509677720278	1	81.79796677012	1
Atp2b4	1	1	1	1	1	1	1	55.9673053492071	45.1190324890575
Atp2c1	1	1	1	1	1	129.069763423033	1	1	69.884622636661
Atp7a	1	1	1	1	250.4424657147	1	1	1	1
Atp8b4	1	1	1	1	1	1	32.6804950001907	1	1
Atp9a	1	1	247.091423861549	1	1	1	1	1	1
Atpaf2	1	1	1	132.427693084546	1	1	1	1	160.465378931606
Atxn1	1	421.602548304276	212.505409881693	1	1	13.9856538898313	1	1	67.6978826792217
Atxn7l1	1	80.8698513236626	67.9834799961098	1	92.9820924741775	62.6176873833505	1	1	1
Aven	1	1	1	1	1	1	1	77.5510758989806	1
Avl9	1	30.3488215519165	1	1	1	1	1	1	1
Axin1	180.534775845617	1	1	1	1	1	11.9387386755108	1	1
Axl	1	1	1	1	1	1	90.6167265277893	1	135.092936279467
B230118H07Rik	1	1	67.3271049344372	1	1	1	130.29123620821	1	117.924699771943
B230120H23Rik	1	1	1	1	1	1	1	1	76.6302395152012
B3galnt1	1	1	1	1	1	1	1	1	172.674857505535
B3gat3	1	95.8378635858191	108.61432971066	1	1	1	1	184.626940082581	40.055315777358
B3gnt1	1	1	72.8816622558035	1	1	1	1	1	128.991593281275
B3gnt3	1	1	1	1	1	118.058857015532	1	1	1
B3gnt4	1	1	226.596472877369	1	1	1	1	1	1
B3gnt5	212.561108095281	1	1	1	1	1	1	1	1
B3gnt8	1	1	1	108.052194327022	1	1	1	1	1
B3gnt9.ps	1	1	1	1	1	1	1	1	167.804877254122
B4galt5	1	1	1	1	1	1	1	52.6518270116055	1
B4galt6	1	1	1	37.1533913060264	1	1	24.2799241562249	1	1
B4galt7	1	1	1	1	1	1	33.3482795868484	1	1
B9d1	1	1	411.542792739874	1	1	1	1	1	1
B9d2	1	1	233.053986105932	123.052252172282	128.535864224749	1	67.1590783474854	1	1
